Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5072","Variation de stock","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5072","Variation de stock","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","72","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5072","Variation de stock","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","77","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5911","Exportations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","75","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5911","Exportations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","63","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5911","Exportations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","48","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5911","Exportations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","48","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5301","Disponibilité intérieure","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","2066","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5301","Disponibilité intérieure","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","2110","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5301","Disponibilité intérieure","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","2156","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5301","Disponibilité intérieure","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","2178","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","2066","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","2110","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","2156","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","5142","Nourriture","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","2178","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2016","2016","kg","36.77","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2017","2017","kg","37.01","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2018","2018","kg","37.31","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2019","2019","kg","37.2","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2016","2016","g/personne/jour","14.53","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2017","2017","g/personne/jour","14.63","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2018","2018","g/personne/jour","14.75","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2019","2019","g/personne/jour","14.7","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2016","2016","g","298144","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2017","2017","g","304525","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2018","2018","g","311104","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2019","2019","g","314136.2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","16","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5511","Production","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","26","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","20","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5611","Importations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","22","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5072","Variation de stock","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5072","Variation de stock","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5072","Variation de stock","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5072","Variation de stock","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5911","Exportations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5911","Exportations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5911","Exportations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5301","Disponibilité intérieure","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","39","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5301","Disponibilité intérieure","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","33","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5301","Disponibilité intérieure","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","27","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5301","Disponibilité intérieure","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","35","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","39","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","33","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","27","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","5142","Nourriture","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","35","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2016","2016","kg","13.54","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2017","2017","kg","11.45","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2018","2018","kg","9.48","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","645","Disponibilité alimentaire en quantité (kg/personne/an)","F2734","Viande de Volailles","2019","2019","kg","12.23","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2016","2016","g/personne/jour","5.18","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2017","2017","g/personne/jour","4.44","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2018","2018","g/personne/jour","3.52","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","F2734","Viande de Volailles","2019","2019","g/personne/jour","4.77","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2016","2016","g","5456","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2017","2017","g","4678","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2018","2018","g","3704","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","671","Disponibilité de protéines en quantité (g)","F2734","Viande de Volailles","2019","2019","g","5014.68","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5511","Production","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","288","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5511","Production","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","284","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5511","Production","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","286","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5511","Production","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","285","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5611","Importations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5611","Importations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5611","Importations - Quantité","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5611","Importations - Quantité","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5072","Variation de stock","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","-4","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5072","Variation de stock","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5072","Variation de stock","F2734","Viande de Volailles","2018","2018","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5072","Variation de stock","F2734","Viande de Volailles","2019","2019","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5911","Exportations - Quantité","F2734","Viande de Volailles","2016","2016","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","012","Algérie","5911","Exportations - Quantité","F2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
